player_name,team,season,position
Lee Calland,ATL,1966,DB
Glenn Glass,ATL,1966,DB
Nick Rassas,ATL,1966,DB
Ken Reaves,ATL,1966,DB
Jerry Richardson,ATL,1966,DB
Bob Riggle,ATL,1966,DB
Carl Silvestri,ATL,1966,DB
Ron Smith,ATL,1966,DB
Bud Marshall,ATL,1966,DL
Guy Reese,ATL,1966,DL
Bobby Richards,ATL,1966,DL
Karl Rubke,ATL,1966,DL
Chuck Sieminski,ATL,1966,DL
Joe Szczecko,ATL,1966,DL
Sam Williams,ATL,1966,DL
Wade Traynham,ATL,1966,K
Ralph Heck,ATL,1966,LB
Bill Jobko,ATL,1966,LB
Larry Morris,ATL,1966,LB
Tommy Nobis,ATL,1966,LB
Marion Rushing,ATL,1966,LB
Ed Cook,ATL,1966,OL
Dan Grimm,ATL,1966,OL
Jerry Jones,ATL,1966,OL
Lou Kirouac,ATL,1966,OL
Rich Koeper,ATL,1966,OL
Errol Linden,ATL,1966,OL
Frank Marchlewski,ATL,1966,OL
Jim Simon,ATL,1966,OL
Don Talbert,ATL,1966,OL
Bob Whitlow,ATL,1966,OL
Dennis Claridge,ATL,1966,QB
Randy Johnson,ATL,1966,QB
Billy Lothridge,ATL,1966,QB
Steve Sloan,ATL,1966,QB
Junior Coffey,ATL,1966,RB
Perry Lee Dunn,ATL,1966,RB
Rudy Johnson,ATL,1966,RB
Ron Rector,ATL,1966,RB
Preston Ridlehuber,ATL,1966,RB
Charlie Scales,ATL,1966,RB
Jimmy Sidle,ATL,1966,RB
Ernie Wheelwright,ATL,1966,RB
Bill Wolski,ATL,1966,RB
Taz Anderson,ATL,1966,TE
Billy Martin,ATL,1966,TE
Hugh McInnis,ATL,1966,TE
Gary Barnes,ATL,1966,WR
Vern Burke,ATL,1966,WR
Angelo Coia,ATL,1966,WR
Alex Hawkins,ATL,1966,WR
Tom Hutchinson,ATL,1966,WR
Red Mack,ATL,1966,WR
Bob Sherlag,ATL,1966,WR
Tommy Tolleson,ATL,1966,WR
Tom Bleick,BAL,1966,DB
Bobby Boyd,BAL,1966,DB
George Harold,BAL,1966,DB
Alvin Haymond,BAL,1966,DB
Jerry Logan,BAL,1966,DB
Lenny Lyles,BAL,1966,DB
Jim Welch,BAL,1966,DB
Ordell Braase,BAL,1966,DL
Roy Hilton,BAL,1966,DL
Gino Marchetti,BAL,1966,DL
Lou Michaels,BAL,1966,DL
Fred Miller,BAL,1966,DL
Billy Ray Smith,BAL,1966,DL
Andy Stynchula,BAL,1966,DL
Barry Brown,BAL,1966,LB
Jackie Burkett,BAL,1966,LB
Mike Curtis,BAL,1966,LB
Ted Davis,BAL,1966,LB
Dennis Gaubatz,BAL,1966,LB
Don Shinnick,BAL,1966,LB
Steve Stonebreaker,BAL,1966,LB
Sam Ball,BAL,1966,OL
Dale Memmelaar,BAL,1966,OL
Jim Parker,BAL,1966,OL
Glenn Ressler,BAL,1966,OL
Alex Sandusky,BAL,1966,OL
Dan Sullivan,BAL,1966,OL
Dick Szymanski,BAL,1966,OL
Bob Vogel,BAL,1966,OL
David Lee,BAL,1966,P
Gary Cuozzo,BAL,1966,QB
Johnny Unitas,BAL,1966,QB
Jerry Allen,BAL,1966,RB
Bob Baldwin,BAL,1966,RB
Jerry Hill,BAL,1966,RB
Tony Lorick,BAL,1966,RB
Tom Matte,BAL,1966,RB
Lenny Moore,BAL,1966,RB
John Mackey,BAL,1966,TE
Butch Wilson,BAL,1966,TE
Raymond Berry,BAL,1966,WR
Jimmy Orr,BAL,1966,WR
Neal Petties,BAL,1966,WR
Willie Richardson,BAL,1966,WR
Al Snyder,BAL,1966,WR
Jay Cunningham,NE,1966,DB
Dick Felt,NE,1966,DB
White Graves,NE,1966,DB
Ron Hall,NE,1966,DB
Tom Hennessey,NE,1966,DB
Billy Johnson,NE,1966,DB
Vic Purvis,NE,1966,DB
Chuck Shonta,NE,1966,DB
Don Webb,NE,1966,DB
Houston Antwine,NE,1966,DL
Bob Dee,NE,1966,DL
Larry Eisenhauer,NE,1966,DL
Jim Hunt,NE,1966,DL
Ed Khayat,NE,1966,DL
John Mangum,NE,1966,DL
Tommy Addison,NE,1966,LB
Nick Buoniconti,NE,1966,LB
Lonnie Farmer,NE,1966,LB
Jim Fraser,NE,1966,LB
Doug Satcher,NE,1966,LB
Joe Avezzano,NE,1966,OL
Jim Boudreaux,NE,1966,OL
Justin Canale,NE,1966,OL
Charley Long,NE,1966,OL
Jon Morris,NE,1966,OL
Tom Neville,NE,1966,OL
Don Oakes,NE,1966,OL
Karl Singer,NE,1966,OL
Len St. Jean,NE,1966,OL
John Huarte,NE,1966,QB
Babe Parilli,NE,1966,QB
Tom Yewcic,NE,1966,QB
Joe Bellino,NE,1966,RB
Bob Cappadona,NE,1966,RB
J.D. Garrett,NE,1966,RB
Larry Garron,NE,1966,RB
Ellis Johnson,NE,1966,RB
Jim Nance,NE,1966,RB
Tony Romeo,NE,1966,TE
Jim Whalen,NE,1966,TE
Gino Cappelletti,NE,1966,WR
Jim Colclough,NE,1966,WR
Art Graham,NE,1966,WR
Butch Byrd,BUF,1966,DB
Hagood Clarke,BUF,1966,DB
Booker Edgerson,BUF,1966,DB
Tom Janik,BUF,1966,DB
Charlie King,BUF,1966,DB
George Saimes,BUF,1966,DB
Charley Warner,BUF,1966,DB
Dave Costa,BUF,1966,DL
Tom Day,BUF,1966,DL
Jim Dunaway,BUF,1966,DL
Ron McDole,BUF,1966,DL
Dudley Meredith,BUF,1966,DL
Remi Prudhomme,BUF,1966,DL
Tom Sestak,BUF,1966,DL
Booth Lusteg,BUF,1966,K
Paul Guidry,BUF,1966,LB
Harry Jacobs,BUF,1966,LB
Paul Maguire,BUF,1966,LB
Marty Schottenheimer,BUF,1966,LB
Mike Stratton,BUF,1966,LB
Jack Tracey,BUF,1966,LB
Stew Barber,BUF,1966,OL
Al Bemiller,BUF,1966,OL
Wayne DeSutter,BUF,1966,OL
Dick Hudson,BUF,1966,OL
Joe O'Donnell,BUF,1966,OL
Bob Schmidt,BUF,1966,OL
Billy Shaw,BUF,1966,OL
Jack Kemp,BUF,1966,QB
Daryle Lamonica,BUF,1966,QB
Bobby Burnett,BUF,1966,RB
Wray Carlton,BUF,1966,RB
Doug Goodwin,BUF,1966,RB
Allen Smith,BUF,1966,RB
Jack Spikes,BUF,1966,RB
Paul Costa,BUF,1966,TE
Glenn Bass,BUF,1966,WR
Bobby Crockett,BUF,1966,WR
Elbert Dubenion,BUF,1966,WR
Charley Ferguson,BUF,1966,WR
Pete Mills,BUF,1966,WR
Ed Rutkowski,BUF,1966,WR
Charlie Brown,CHI,1966,DB
Curt Gentry,CHI,1966,DB
Bennie McRae,CHI,1966,DB
Richie Petitbon,CHI,1966,DB
Rosey Taylor,CHI,1966,DB
Dave Whitsell,CHI,1966,DB
Doug Atkins,CHI,1966,DL
Frank Cornish,CHI,1966,DL
Dick Evey,CHI,1966,DL
John Johnson,CHI,1966,DL
Bob Kilcullen,CHI,1966,DL
Ed O'Bradovich,CHI,1966,DL
Brian Schweda,CHI,1966,DL
George Seals,CHI,1966,DL
Doug Buffone,CHI,1966,LB
Dick Butkus,CHI,1966,LB
Joe Fortunato,CHI,1966,LB
Jim Purnell,CHI,1966,LB
Mike Reilly,CHI,1966,LB
Jim Cadile,CHI,1966,OL
Roger LeClerc,CHI,1966,OL
Herman Lee,CHI,1966,OL
Riley Mattson,CHI,1966,OL
Mike Pyle,CHI,1966,OL
Mike Rabold,CHI,1966,OL
Bob Wetoska,CHI,1966,OL
Bobby Joe Green,CHI,1966,P
Rudy Bukich,CHI,1966,QB
Larry Rakestraw,CHI,1966,QB
Billy Wade,CHI,1966,QB
Jon Arnett,CHI,1966,RB
Charlie Bivins,CHI,1966,RB
Ronnie Bull,CHI,1966,RB
Ralph Kurek,CHI,1966,RB
Joe Marconi,CHI,1966,RB
Brian Piccolo,CHI,1966,RB
Gale Sayers,CHI,1966,RB
Duane Allen,CHI,1966,TE
Mike Ditka,CHI,1966,TE
Dick Gordon,CHI,1966,WR
Jim Jones,CHI,1966,WR
Johnny Morris,CHI,1966,WR
Erich Barnes,CLE,1966,DB
Walter Beach,CLE,1966,DB
Ross Fichtner,CLE,1966,DB
Bobby Franklin,CLE,1966,DB
Mike Howell,CLE,1966,DB
Ernie Kellermann,CLE,1966,DB
Bernie Parrish,CLE,1966,DB
Bill Glass,CLE,1966,DL
Walter Johnson,CLE,1966,DL
Jim Kanicki,CLE,1966,DL
Dick Modzelewski,CLE,1966,DL
Frank Parker,CLE,1966,DL
Paul Wiggin,CLE,1966,DL
Johnny Brewer,CLE,1966,LB
Vince Costello,CLE,1966,LB
Galen Fiss,CLE,1966,LB
Jim Houston,CLE,1966,LB
Dale Lindsey,CLE,1966,LB
Sid Williams,CLE,1966,LB
Jim Battle,CLE,1966,OL
John Brown,CLE,1966,OL
Monte Clark,CLE,1966,OL
Lou Groza,CLE,1966,OL
Gene Hickerson,CLE,1966,OL
Fred Hoaglin,CLE,1966,OL
Joe Bob Isbell,CLE,1966,OL
John Morrow,CLE,1966,OL
Dick Schafrath,CLE,1966,OL
John Wooten,CLE,1966,OL
Gary Lane,CLE,1966,QB
Jim Ninowski,CLE,1966,QB
Frank Ryan,CLE,1966,QB
Ernie Green,CLE,1966,RB
Charlie Harraway,CLE,1966,RB
Leroy Kelly,CLE,1966,RB
Nick Pietrosante,CLE,1966,RB
Randy Schultz,CLE,1966,RB
Milt Morin,CLE,1966,TE
Ralph Smith,CLE,1966,TE
Gary Collins,CLE,1966,WR
Clifton McNeil,CLE,1966,WR
Walter Roberts,CLE,1966,WR
Paul Warfield,CLE,1966,WR
Dick Daniels,DAL,1966,DB
Mike Gaechter,DAL,1966,DB
Cornell Green,DAL,1966,DB
Mike Johnson,DAL,1966,DB
Warren Livingston,DAL,1966,DB
Obert Logan,DAL,1966,DB
Mel Renfro,DAL,1966,DB
